,,,,,,,,,
,,,,,,,,,
,Date,Opening Shift ,Start Time,Duration (hours),Duration of Lunch Break (min),Number of Register Hours,Number of Outdoor Helm Hours,Number of Steps During Outdoor Helm's,Number of Steps 
1,2025-03-25,No,12:00 PM,8,47,4,0,0,"12,259"
2,2025-03-26,No,12:00 PM,8,37,4,0,0,"11,156"
3,2025-04-08,Yes ,6:00 AM,8,37,2,1,"3,494","14,777"
4,2025-04-10,Yes ,6:00 AM,8,52,2,1,"2,096","11,702"
5,2025-04-12,Yes ,6:00 AM,8,36,2,0,0,"10,939"
6,2025-04-15,Yes ,6:00 AM,8,49,2,1,"3,797","14,900"
7,2025-04-17,Yes ,6:00 AM,8,46,2,1,"3,127","12,994"
8,2025-04-19,No,2:00 PM,8,44,3,0,0,"11,148"
9,2025-04-20,No,2:00 PM,8,49,2,0,0,"12,704"
10,2025-04-22,No,2:00 PM,8,45,2,0,0,"10,459"
11,2025-04-24,Yes ,6:00 AM,8,48,3,0,0,"12,806"
12,2025-04-26,No,2:00 PM,8,39,3,0,0,"11,995"
13,2025-04-27,No,2:00 PM,8,47,1,0,0,"14,842"
14,2025-05-01,Yes ,6:00 AM,8,37,2,0,0,"10,789"
15,2025-05-03,No,2:00 PM,8,51,3,0,0,"10,141"
16,2025-05-04,No,2:00 PM,8,40,2,0,0,"14,073"
17,2025-05-06,Yes ,6:00 AM,8,52,2,1,"3,337","13,989"
18,2025-05-08,Yes ,6:00 AM,8,48,2,0,0,"12,467"
19,2025-05-10,No,10:00 AM,8,52,4,1,"3,685","12,914"
20,2025-05-11,No,2:00 PM,8,41,3,2,"5,700","14,346"
21,2025-05-13,Yes ,6:00 AM,8,50,2,1,"3,353","14,046"
22,2025-05-15,Yes ,6:00 AM,8,42,2,0,0,"11,953"
23,2025-05-17,No,12:00 PM,7,44,2,0,0,"10,582"
24,2025-05-18,No,2:00 PM,8,35,3,0,0,"11,818"
25,2025-05-22,Yes ,6:00 AM,8,39,2,1,"2,833","12,552"
26,2025-05-24,No,2:00 PM,8,43,3,0,0,"10,316"
27,2025-05-25,Yes ,6:00 AM,8,39,2,0,0,"12,290"
29,2025-05-27,Yes ,6:00 AM,8,,,,,
30,2025-05-29,Yes ,6:00 AM,8,,,,,
31,2025-05-31,No,2:00 PM,8,,,,,
32,2025-06-03,Yes ,6:00 AM,8,,,,,
33,2025-06-03,Yes ,6:00 AM,8,,,,,